,name,year,rating,vote,length,vote2
162,Spider-Man: No Way Home,2021,8.2,835K,2h 28m,835000
163,"Lock, Stock and Two Smoking Barrels",1998,8.1,604K,1h 47m,604000
164,El secreto de sus ojos,2009,8.2,218K,2h 9m,218000
165,Prisoners,2013,8.1,774K,2h 33m,774000
166,Inside Out,2015,8.1,756K,1h 35m,756000
167,"Three Billboards Outside Ebbing, Missouri",2017,8.1,538K,1h 55m,538000
168,The Bridge on the River Kwai,1957,8.1,229K,2h 41m,229000
169,Trainspotting,1996,8.1,711K,1h 33m,711000
170,Fargo,1996,8.1,704K,1h 38m,704000
171,Warrior,2011,8.1,488K,2h 20m,488000
172,Gran Torino,2008,8.1,800K,1h 56m,800000
173,Catch Me If You Can,2002,8.1,1.1M,2h 21m,1100000
174,My Neighbor Totoro,1988,8.1,363K,1h 26m,363000
175,Million Dollar Baby,2004,8.1,709K,2h 12m,709000
176,Klaus,2019,8.2,172K,1h 36m,172000
177,Harry Potter and the Deathly Hallows - Part 2,2011,8.1,920K,2h 10m,920000
178,Children of Heaven,1997,8.2,78K,1h 29m,78000
179,Blade Runner,1982,8.1,802K,1h 57m,802000
180,12 Years a Slave,2013,8.1,726K,2h 14m,726000
181,Before Sunrise,1995,8.1,329K,1h 41m,329000
182,The Grand Budapest Hotel,2014,8.1,861K,1h 39m,861000
183,The Gold Rush,1925,8.1,116K,1h 35m,116000
184,Ben-Hur,1959,8.1,248K,3h 32m,248000
185,Gone Girl,2014,8.1,1M,2h 29m,1000000
186,Barry Lyndon,1975,8.1,178K,3h 5m,178000
187,On the Waterfront,1954,8.1,161K,1h 48m,161000
188,Hacksaw Ridge,2016,8.1,570K,2h 19m,570000
189,In the Name of the Father,1993,8.1,183K,2h 13m,183000
190,Salinui Chueok,2003,8.1,204K,2h 11m,204000
191,The General,1926,8.1,96K,1h 18m,96000
192,The Deer Hunter,1978,8.1,353K,3h 3m,353000
193,Smultronstället,1957,8.1,112K,1h 31m,112000
194,The Third Man,1949,8.1,178K,1h 44m,178000
195,Le salaire de la peur,1953,8.2,65K,2h 11m,65000
