# new cases, moving ave @ 3
2.000000000000000000e+00,1.600000000000000000e+01
1.400000000000000000e+01,1.069999999999999929e+01
3.000000000000000000e+00,6.299999999999999822e+00
1.000000000000000000e+00,6.000000000000000000e+00
2.000000000000000000e+00,2.000000000000000000e+00
4.000000000000000000e+00,2.299999999999999822e+00
2.000000000000000000e+00,2.700000000000000178e+00
2.800000000000000000e+01,1.130000000000000071e+01
9.000000000000000000e+00,1.300000000000000000e+01
5.000000000000000000e+00,1.400000000000000000e+01
1.100000000000000000e+01,8.300000000000000711e+00
1.000000000000000000e+01,8.699999999999999289e+00
1.700000000000000000e+01,1.269999999999999929e+01
1.400000000000000000e+01,1.369999999999999929e+01
2.400000000000000000e+01,1.830000000000000071e+01
4.200000000000000000e+01,2.669999999999999929e+01
3.800000000000000000e+01,3.470000000000000284e+01
2.800000000000000000e+01,3.600000000000000000e+01
3.800000000000000000e+01,3.470000000000000284e+01
5.200000000000000000e+01,3.929999999999999716e+01
4.800000000000000000e+01,4.600000000000000000e+01
1.900000000000000000e+01,3.970000000000000284e+01
6.700000000000000000e+01,4.470000000000000284e+01
5.800000000000000000e+01,4.800000000000000000e+01
6.400000000000000000e+01,6.300000000000000000e+01
1.080000000000000000e+02,7.670000000000000284e+01
7.300000000000000000e+01,8.170000000000000284e+01
6.000000000000000000e+01,8.029999999999999716e+01
1.130000000000000000e+02,8.200000000000000000e+01
1.180000000000000000e+02,9.700000000000000000e+01
1.230000000000000000e+02,1.180000000000000000e+02
1.330000000000000000e+02,1.247000000000000028e+02
1.280000000000000000e+02,1.280000000000000000e+02
1.450000000000000000e+02,1.353000000000000114e+02
1.060000000000000000e+02,1.262999999999999972e+02
1.180000000000000000e+02,1.230000000000000000e+02
1.490000000000000000e+02,1.242999999999999972e+02
1.210000000000000000e+02,1.293000000000000114e+02
1.240000000000000000e+02,1.313000000000000114e+02
1.150000000000000000e+02,1.200000000000000000e+02
7.800000000000000000e+01,1.057000000000000028e+02
8.000000000000000000e+01,9.100000000000000000e+01
8.500000000000000000e+01,8.100000000000000000e+01
9.500000000000000000e+01,8.670000000000000284e+01
8.900000000000000000e+01,8.970000000000000284e+01
6.900000000000000000e+01,8.429999999999999716e+01
7.200000000000000000e+01,7.670000000000000284e+01
6.900000000000000000e+01,7.000000000000000000e+01
3.300000000000000000e+01,5.800000000000000000e+01
6.200000000000000000e+01,5.470000000000000284e+01
6.900000000000000000e+01,5.470000000000000284e+01
4.800000000000000000e+01,5.970000000000000284e+01
4.600000000000000000e+01,5.429999999999999716e+01
7.400000000000000000e+01,5.600000000000000000e+01
4.400000000000000000e+01,5.470000000000000284e+01
3.600000000000000000e+01,5.129999999999999716e+01
2.600000000000000000e+01,3.529999999999999716e+01
1.800000000000000000e+01,2.669999999999999929e+01
2.700000000000000000e+01,2.369999999999999929e+01
2.600000000000000000e+01,2.369999999999999929e+01
