"MPG.City","Weight","Horsepower","Wheelbase","Price","Torque..foot.lbs..","Displacement..cu.in..","Pounds.HP","Cargo.Volume..EPA.","Passenger.Volume..EPA.","Fuel.Capacity","Combined.Fuel.Economy","Cylinders","Seating..Standard.","Transmission.Speeds","Transmission..Automatic.Manual.","Height","Length","Width","Track..Front.","Track..Rear.","Curb.Weight.AT","Curb.Weight.MT","MPG.Highway","Sales.Volume","Model","Model.Year","Type"
15,5.218,232,119,31940,291,281,22.4913793,NA,NA,28,NA,8,9,"4","A",77.6,205.8,78.7,67,67.3,5218,NA,19,NA,"2004.Ford.Expedition.XLS.4x2.4.6L.Current",2004,"SUV"
14,5.147,225,138,24520,286,281,22.8755556,NA,NA,35,16,8,8,"4","A",80.9,211.9,79.3,69.4,67,5147,NA,18,NA,"2004.Ford.E-Series.Wagon.E-150.XL.Current",2004,"SUV"
25,2.612,130,103,12725,135,121,20.0923077,21,95,13.2,NA,4,5,"5","M",56.3,168.1,66.9,58.8,58.5,NA,2612,32,NA,"2004.Ford.Focus.ZX3.Current",2004,"Car/Sedan"
24,3.1285,143,111.6,13645,153,140,21.8776224,NA,NA,16.5,26,4,3,"5","M",64.9,187.5,69.4,58.6,57.3,3172,3085,29,226094,"2003.Ford.Truck.Ranger.Regular.Cab.4x2.112-in..WB.XL.Styleside.-.411A.Current",2003,"Truck"
16,4.432,275,113,28845,275,256,16.1163636,NA,NA,22,19,6,5,"4","A",71.9,191.6,74.7,63.1,62.1,4432,NA,22,NA,"2004.GMC.Envoy.SLE.2WD.Current",2004,"Truck"
14,5.037,285,116,34910,295,294,17.6736842,NA,NA,26,16,8,6,"4","A",76.7,198.9,78.9,65,66,5037,NA,18,NA,"2004.GMC.Yukon.2WD.Current",2004,"Truck"
16,4.321,190,111.2,23690,250,262,22.7421053,NA,NA,27,17,6,8,"4","A",75,189.8,77.5,65.1,65.1,4321,NA,20,NA,"2004.GMC.Safari.Passenger.Van.Rear.Wheel.Drive.Current",2004,"Van"
15,5.245,200,135,25045,250,262,26.225,NA,NA,31,17,6,8,"4","A",81.6,224.1,79.4,67.8,67.8,5245,NA,20,NA,"2004.GMC.Savana.Passenger.Van.G1500.Regular.Wheelbase.RWD.Current",2004,"Van"
22,3.002,120,108.3,14770,140,134,25.0166667,NA,NA,18,24,4,3,"5","M",62,190,67.9,54.4,54.6,3020,2984,28,41100,"2003.GMC.Truck.Sonoma.Regular.Cab.SL.Short.Box.2WD.Current",2003,"Truck"
32,2.403,115,103.1,12810,110,102,20.8956522,13,86,13.2,34,4,5,"5","M",55.1,174.7,66.7,57.9,57.9,NA,2403,38,313159,"2003.Honda.Civic.Coupe.DX.5-spd.MT.Current",2003,"Car/Sedan"
61,1.847,67,94.5,19080,66,61,27.5671642,NA,NA,10.6,64,3,2,"5","M",53.3,155.1,66.7,56.5,52.2,NA,1847,68,2216,"2003.Honda.Insight.5-spd.MT.Current",2003,"Car/Sedan"
